name;provider;release_date;genres;price;platform;size;is_plus_exclusive
Rugby World Cup 2015;BIGBEN INTERACTIVE SA;;Deportes;24,99 €;PS4;"
                1.72 GB
              ";
Armello™;League of Geeks;;Estrategia;19,99 €;PS4;;
Grow Home;UBISOFT ENTERTAINMENT SA;;Aventura;7,99 €;PS4;;
Metal Gear Solid V: The Phantom Pain;Konami;;Acción;29,99 €;PS4;"
                26.97 GB
              ";
Super Time Force Ultra;Capybara Games Inc.;;Acción;16,99 €;PS4, PS Vita;"
                1.77 GB
              ";
Xeodrifter;"
Paquete
Lanzado 1 Sep 2015












                  5843 Calificaciones
                

";;Acción;7,99 €;PS4, PS Vita;;
Zombie Vikings;ZOINK AB;;Inglés;11,99 €;PS4;"
                4.65 GB
              ";
Dishonored® Definitive Edition;Bethesda;;Acción;39,99 €;PS4;"
                32.85 GB
              ";
Onechanbara Z2: Chaos;NIS America;;Acción;24,99 €;PS4;"
                8.46 GB
              ";
One Piece Pirate Warriors 3;BANDAI NAMCO ENTERTAINMENT EUROPE;;Acción;29,99 €;PS4;"
                11.28 GB
              ";
One Piece Pirate Warriors 3 - Gold Edition;BANDAI NAMCO ENTERTAINMENT EUROPE;;Acción;39,99 €;PS4;"
                11.28 GB
              ";
Disney Infinity 3.0: Play Without Limits;Disney Interactive;;Aventura;29,99 €;PS4;"
                16.34 GB
              ";
Calvino Noir;"
Juego PSN
Lanzado 26 Ago 2015












                  96 Calificaciones
                

";;Aventura;9,99 €;PS4;"
                1.59 GB
              ";
Dynamite Fishing – World Games;"
Juego PSN
Lanzado 26 Ago 2015












                  114 Calificaciones
                

";;Arcade;4,99 €;PS4;;
Until Dawn™;Sony Interactive Entertainment Europe;;Horror;34,99 €;PS4;"
                38.47 GB
              ";
Capsule Force;IRON GALAXY STUDIOS LLC;;Acción;4,99 €;PS4;;
I am Bread;"
Juego PSN
Lanzado 25 Ago 2015












                  2234 Calificaciones
                

";;Simulador;12,99 €;PS4;;
Madden NFL 16;EA Swiss Sarl;;Deportes;29,99 €;PS4;"
                20.65 GB
              ";
Mega Man Legacy Collection;CE EUROPE LIMITED;;Acción;14,99 €;PS4;;
Arcade Archives MAT MANIA EXCITING HOUR ;"
Juego PSN
Lanzado 24 Ago 2015












                  44 Calificaciones
                

";;Casual;6,99 €;PS4;;
Risen 3: Titan Lords - Enhanced Edition;Deep Silver;;Juegos de rol;13,99 €;PS4;"
                13.16 GB
              ";
Prototype®2;Activision Blizzard Int'l BV;;Horror;25,59 €;PS4;"
                10.78 GB
              ";
Giana Sisters: Dream Runners;"
Juego PSN
Lanzado 19 Ago 2015












                  137 Calificaciones
                

";;Familia;9,99 €;PS4;"
                1.44 GB
              ";
MasterCube;Ertem Yazilim;;Shooter;4,99 €;PS4;;
PROTOTYPE™;Activision Blizzard Int'l BV;;Horror;19,19 €;PS4;"
                7.74 GB
              ";
Pure Hold'em World Poker Championship;RIPSTONE LTD;;Estrategia;19,99 €;PS4;"
                1.02 GB
              ";
the Castle Game;"
Juego PSN
Lanzado 19 Ago 2015












                  95 Calificaciones
                

";;Estrategia;9,99 €;PS4;"
                1.16 GB
              ";
Volume;"
Juego
Lanzado 19 Ago 2015












                  628 Calificaciones
                

";;Acción;17,99 €;PS4, PS Vita;"
                1.8 GB
              ";
Toy Soldiers: War Chest;UBISOFT ENTERTAINMENT SA;;Estrategia;14,99 €;PS4;"
                4.61 GB
              ";
Toy Soldiers: War Chest Hall of Fame Edition;UBISOFT ENTERTAINMENT SA;;Estrategia;29,99 €;PS4;"
                4.61 GB
              ";
ZOMBI;UBISOFT ENTERTAINMENT SA;;Aventura;19,99 €;PS4;"
                22.24 GB
              ";
PHANTOM BREAKER BATTLE GROUNDS OVER DRIVE;"
Juego PSN
Lanzado 17 Ago 2015












                  1 Calificaciones
                

";;Acción;10,99 €;PS4;"
                1.53 GB
              ";
Deception IV: The Nightmare Princess;Koei Tecmo Europe Ltd;;Acción;49,99 €;PS4;"
                1.97 GB
              ";
Brothers: a Tale of two Sons;505 GAMES S.R.L.;;Único;19,99 €;PS4;"
                4.18 GB
              ";
Gauntlet: Slayer Edition;WARNER BROS. INTERACTIVE;;Arcade;19,99 €;PS4;"
                1.77 GB
              ";
Goat Simulator;Double Eleven Limited;;Simulador;8,99 €;PS4;"
                1.41 GB
              ";
